COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate,Fertility Rate,Tabacco Consumption,Obesity Rate,Internet Users (in %),Median Age,Economic Freedom Score,Oil Production,Population Growth Rate,Life Expectancy,Meat Consumption per kg,Incarceration Rate (per 100 000),Literacy Rate,Age at First Marriage,Spending on Education (in %),Homeless Population (per 10 000),Milk Consumption,Num. of Scientific and Technical Journals Articles,Books Published,Kilocalories,Avg. Yearly Temperature (in Celsius)
Central African Republic,468.0,,3.3,20.1,,0.397,1.32,,0.94,0.8,0.15,,,110.1,,777.0,0.39,0.562,97.0,23.0,4.645,,7.5,0.043,20.0,49.1,,1.58,53.1,28.0,16.0,35.7,17.4,1.2,1421.0,13.53,4.286,,1960.0,24.9
Chad,707.0,,1.5,,,0.398,1.55,,0.95,0.35,0.58,0.001,,113.8,,1229.0,0.18,0.433,79.0,13.2,5.649,15.4,6.1,0.063,16.1,49.9,7393.0,3.01,59.6,14.3,59.0,7.0,16.0,2.9,209.0,20.63,0.969,,2010.0,26.55
Chile,14896.0,176.48,9.3,4.4,,0.851,8.28,27.0,0.7,0.68,0.001,0.001,0.0012,7.0,14.0,5753.0,0.82,0.444,2306.0,8.0,1.627,53.4,28.0,0.794,35.5,75.4,247.0,0.78,80.7,66.4,210.0,89.9,32.6,5.4,7.4,116.11,380.263,5641.0,2960.0,8.45
China,10004.0,172.95,7.2,0.5,1.7,0.761,2.27,35.8,,0.03,0.01725,0.182,0.00018999999999999998,7.9,12.0,1945.0,0.29,0.385,935.0,6.7,1.696,29.2,6.2,0.708,38.4,58.4,2836.0,0.39,77.4,52.4,121.0,73.9,24.9,4.0,18.0,32.66,370.023,208418.0,2990.0,6.95
Colombia,6432.0,53.73,5.8,25.3,,0.767,7.04,27.0,0.83,0.92,0.002,0.001,0.00013,13.8,14.0,4022.0,0.57,0.504,1155.0,3.7,1.789,16.8,22.3,0.615,31.2,67.3,18452.0,0.81,79.3,33.9,194.0,81.4,22.3,4.5,971.0,108.47,144.882,17066.0,2690.0,24.5
Comoros,1370.0,,0.9,,,0.554,3.09,,0.97,0.021,0.983,,,62.9,,1502.0,0.21,0.45299999999999996,134.0,8.5,4.138,43.7,7.8,0.083,20.9,55.4,,2.24,67.4,7.6,27.0,12.8,20.4,2.5,,11.15,3.604,,1840.0,25.55
Democratic Republic of the Congo,545.0,,2.6,,,0.48,1.13,,0.94,0.92,0.1,0.001,6.300000000000001e-06,84.8,14.0,265.0,0.13,0.42100000000000004,31.0,12.4,5.819,,6.7,0.083,16.7,50.3,254.0,3.22,62.4,4.8,29.0,48.0,19.0,1.5,595.0,,1.772,64.0,,24.0
Costa Rica,12238.0,47.93,4.8,11.3,,0.81,8.16,28.0,0.79,0.82,0.001,0.001,0.00016,8.6,12.0,6496.0,0.43,0.48,1337.0,7.6,1.737,18.2,25.7,0.7020000000000001,32.6,65.3,,0.96,80.8,40.4,374.0,90.4,25.7,7.4,6.6,183.28,101.411,2158.0,2820.0,24.8
Croatia,14627.0,57.3,8.9,0.6,,0.851,6.5,,0.7,0.9009999999999999,0.015,0.001,0.00010999999999999999,4.8,14.0,6795.0,0.89,0.304,1876.0,11.0,1.47,34.9,24.4,0.6759999999999999,43.9,61.4,3223.0,-0.58,78.6,49.9,84.0,97.1,28.1,4.6,7.0,231.02,1029.014,,2990.0,10.9
Cuba,9296.0,,6.1,5.0,,0.783,2.84,,0.34,0.65,0.001,0.001,3.2e-05,5.1,16.0,1050.0,0.34,,2519.0,10.2,1.602,47.5,24.6,0.49700000000000005,42.1,27.8,4357.0,0.06,77.8,32.2,510.0,99.2,21.3,12.9,0.0,99.94,85.464,992.0,3420.0,25.2
Cyprus,28285.0,50.46,10.8,1.3,,0.887,7.56,,0.75,0.79,0.253,0.002,6.300000000000001e-06,2.3,14.0,,8.49,0.314,2625.0,3.2,1.321,42.5,21.8,0.8009999999999999,37.9,68.1,,0.78,83.1,131.3,86.0,93.8,29.0,6.4,,113.31,1063.989,930.0,3190.0,18.45
Czech Republic,23452.0,85.89,14.4,0.6,,0.9,7.67,31.0,0.21,0.34,0.0015,0.001,0.00025,3.2,15.0,7918.0,0.76,0.249,3041.0,9.5,1.71,34.8,26.0,0.784,43.3,73.7,220.0,0.06,79.1,77.3,179.0,,29.8,5.6,22.0,195.2,1460.479,17330.0,3280.0,7.55
Denmark,60657.0,210.71,10.4,1.0,,0.94,9.15,44.0,0.19,0.79,0.054000000000000006,0.002,0.00041,3.8,15.0,,1.58,0.287,5794.0,7.6,1.7,37.6,19.7,0.94,42.0,76.7,24369.0,0.38,81.3,145.9,68.0,,32.0,7.6,11.0,277.3,2430.232,13096.0,3410.0,7.5
Dominican Republic,8282.0,,6.9,10.0,,0.756,6.32,,0.87,0.83,0.001,0.001,6.300000000000001e-06,28.0,,2915.0,0.36,0.43700000000000006,1018.0,5.1,2.323,18.9,27.8,0.6579999999999999,27.9,61.0,,1.07,72.8,37.8,243.0,79.8,21.0,4.3,,73.75,4.611,1866.0,2270.0,24.55
Ecuador,6184.0,,4.4,5.8,,0.759,6.13,,0.82,0.94,0.001,0.001,3.8e-05,14.0,12.0,5200.0,0.57,0.45399999999999996,955.0,7.7,2.403,,19.9,0.557,28.8,46.9,33470.0,1.42,78.4,45.0,224.0,77.7,21.8,5.0,,139.6,125.378,2854.0,2300.0,21.85
Egypt,3161.0,39.66,0.4,2.6,,0.707,2.93,,0.97,0.1,0.9235,0.001,6.300000000000001e-06,20.3,12.0,,0.34,0.315,614.0,3.4,3.28,21.5,32.0,0.556,24.1,52.5,6860.0,1.87,71.8,22.5,116.0,43.2,25.0,3.8,1200.0,59.46,135.405,12000.0,3160.0,22.1
El Salvador,4187.0,,3.7,52.0,,0.673,5.9,,,0.8190000000000001,0.0028000000000000004,0.001,6.300000000000001e-06,13.3,12.0,3650.0,0.56,0.386,592.0,6.1,2.021,19.1,24.6,0.31,27.7,61.8,,0.52,75.0,21.4,572.0,65.7,22.5,3.8,,124.34,7.009,661.0,2580.0,24.45
Estonia,23740.0,78.58,11.6,2.1,,0.892,7.84,41.0,0.16,0.45,0.001,0.001,0.00012,2.4,14.0,7626.0,0.89,0.304,2428.0,12.0,1.66,41.1,21.2,0.872,43.7,76.6,,-0.23,78.9,67.4,173.0,99.7,29.0,5.2,15.2,284.85,1069.604,3916.0,3140.0,5.1
Ethiopia,828.0,,2.8,8.8,,0.485,3.38,,,0.75,0.313,0.001,6.300000000000001e-06,50.7,9.0,,0.32,0.35,67.0,9.5,4.146,6.8,4.5,0.179,19.8,53.6,,2.43,68.7,7.9,99.0,13.6,17.4,4.7,234.0,44.14,18.256,240.0,1950.0,22.2
Fiji,6185.0,,3.0,,,0.743,5.72,,,0.644,0.063,0.001,,25.7,10.0,3096.0,0.18,0.36700000000000005,372.0,9.5,2.754,32.7,30.2,0.512,29.9,62.2,,0.72,68.0,39.1,274.0,,27.7,3.9,,40.2,158.464,401.0,3000.0,24.4
Finland,48678.0,119.32,10.7,1.6,,0.938,9.2,41.0,0.28,0.698,0.018000000000000002,0.001,8.2e-05,2.4,15.0,,2.23,0.27399999999999997,4457.0,13.4,1.35,29.1,22.2,0.875,42.8,74.9,,0.36,81.6,67.4,53.0,,31.2,6.9,8.8,430.76,1919.213,9368.0,3220.0,1.7
France,40319.0,192.25,12.6,1.2,2.1,0.901,7.99,45.0,0.3,0.605,0.08800000000000001,0.005,0.028999999999999998,4.5,13.0,21786.0,2.3,0.316,5250.0,9.7,1.87,34.6,21.6,0.915,41.7,63.8,253.0,0.39,82.5,101.1,93.0,,30.8,5.4,45.0,241.31,1020.949,106799.0,3530.0,10.7
Gabon,7773.0,,11.5,,,0.703,3.54,,,0.88,0.1,,,42.5,,3072.0,0.35,0.38,491.0,13.1,3.922,,15.0,0.491,21.0,56.3,106528.0,2.17,66.5,46.0,241.0,60.6,20.4,2.7,,30.16,30.199,,2710.0,25.05
Georgia,4439.0,,9.8,2.2,,0.812,5.31,,0.81,0.8859999999999999,0.107,,9.499999999999999e-05,9.6,14.0,106.0,1.28,0.364,796.0,7.7,2.055,34.4,21.7,0.861,38.6,75.9,102.0,-0.27,73.3,26.0,245.0,99.1,26.6,3.8,760.0,149.26,137.399,581.0,2730.0,5.8
Germany,46232.0,120.93,13.4,0.9,1.4,0.947,8.67,30.0,0.4,0.55,0.0655,0.003,0.0074,3.8,14.0,22214.0,1.65,0.319,6098.0,8.3,1.54,33.6,22.3,0.9359999999999999,47.8,73.5,571.0,0.2,81.7,82.1,69.0,,30.9,4.8,81.9,258.7,1255.901,79916.0,3540.0,8.4
Ghana,2203.0,51.93,2.7,2.1,,0.611,6.5,,0.95,0.7120000000000001,0.17600000000000002,0.001,,46.2,,482.0,0.3,0.435,168.0,10.5,3.816,6.5,10.9,0.13699999999999998,21.4,57.5,3564.0,2.16,66.3,9.9,43.0,34.9,21.7,3.6,32.9,9.08,45.237,28.0,2900.0,27.2
Greece,19604.0,36.73,10.4,0.9,,0.888,7.39,40.0,0.71,0.93,0.0385,0.001,0.00027,3.8,15.0,10389.0,2.98,0.344,2340.0,3.6,1.35,50.2,24.9,0.753,45.3,57.7,285.0,-0.21,81.1,78.7,107.0,92.5,29.9,4.1,37.1,255.26,1036.566,6826.0,3710.0,15.4
Guatemala,4363.0,,2.4,22.5,,0.663,4.97,,0.88,0.87,0.001,0.001,5.7e-05,24.5,,3941.0,0.28,0.483,483.0,6.2,2.822,,21.2,0.39899999999999997,23.2,62.6,544.0,1.94,72.0,23.8,139.0,50.7,21.3,2.8,315.0,46.6,5.798,1042.0,2150.0,23.45
Guinea,967.0,,1.3,,,0.477,3.08,,0.97,0.08900000000000001,0.8909999999999999,0.001,,98.8,10.0,,0.2,0.337,109.0,12.3,4.625,,7.7,0.11699999999999999,19.1,55.7,,2.57,61.0,6.5,28.0,13.1,16.5,2.2,,20.62,2.255,,2550.0,25.7
Guinea Bissau,688.0,,4.8,1.1,,0.48,2.63,,,0.1,0.451,,,78.5,16.0,390.0,0.94,0.507,123.0,12.4,4.402,,9.5,0.039,18.0,54.0,,2.44,60.2,13.0,10.0,19.5,20.9,2.1,,19.88,8.003,,2270.0,26.75
Guyana,6610.0,45.37,6.3,14.2,,0.682,6.01,,,0.64,0.073,0.001,,29.3,,2015.0,0.36,0.446,513.0,40.9,2.44,26.9,20.2,0.373,27.5,56.8,,0.57,65.7,31.8,239.0,49.9,21.5,6.3,,141.68,17.972,42.0,2740.0,26.0
Haiti,715.0,,5.8,6.7,,0.51,4.22,,0.85,0.96,0.001,0.001,,62.8,,1075.0,0.24,0.41100000000000003,144.0,11.2,2.887,12.4,22.7,0.122,24.1,52.7,,1.2,64.1,15.3,97.0,8.5,23.7,2.5,34.0,18.98,2.607,,1850.0,24.9
Honduras,2575.0,,4.0,38.9,,0.634,5.36,,,0.88,0.003,0.001,,16.8,,2372.0,0.38,0.521,362.0,2.6,2.427,,21.4,0.311,24.4,60.2,,1.63,71.9,24.7,237.0,66.3,21.2,6.0,1235.0,91.33,4.694,102.0,2610.0,23.5
Hungary,16879.0,193.8,11.4,2.5,,0.854,6.56,32.0,0.39,0.58935,0.005,0.001,0.003,3.7,12.0,6647.0,1.6,0.306,2115.0,11.8,1.49,40.0,26.4,0.769,43.6,65.0,1426.0,-0.34,76.4,100.7,169.0,99.1,29.3,4.7,10.0,159.05,690.291,11645.0,3470.0,9.75
Iceland,71345.0,,9.1,0.9,,0.949,9.37,40.0,,0.7509999999999999,0.002,0.004,,2.0,15.0,,0.81,0.268,5113.0,11.2,1.75,30.3,21.9,0.978,37.1,77.1,,0.77,82.3,84.8,33.0,,32.7,7.5,10.3,225.82,2022.494,1767.0,3260.0,1.75
India,2116.0,55.76,5.7,3.1,2.9,0.645,6.61,,0.9,0.023,0.146,0.008,0.0003,34.3,7.0,709.0,0.20199999999999999,0.37799999999999995,275.0,12.9,2.202,48.9,3.9,0.616,28.7,55.2,554.0,1.1,70.8,5.2,35.0,45.4,22.2,3.1,15.0,84.5,100.387,90000.0,2360.0,23.65
Indonesia,4136.0,,0.8,0.4,,0.718,6.3,11.0,0.99,0.1072,0.867,0.008,6.300000000000001e-06,23.9,8.0,2477.0,0.37,0.39,375.0,2.6,2.288,41.8,6.9,0.7929999999999999,31.1,65.8,3192.0,1.05,71.3,8.3,93.0,70.1,19.0,3.6,136.0,14.82,100.676,135081.0,2550.0,25.85
Iran,7282.0,,1.0,2.5,,0.783,2.2,,0.73,0.004,0.9940000000000001,0.001,0.00053,13.9,12.0,1275.0,0.02,0.408,1691.0,5.1,2.146,21.4,25.8,0.955,31.7,51.1,49714.0,1.04,77.3,23.1,228.0,36.8,23.8,4.0,1.9,46.69,590.537,102691.0,3050.0,17.25
Iraq,5730.0,,0.4,10.1,,0.674,3.62,,0.84,0.03,0.9570000000000001,0.001,,25.9,9.0,2538.0,0.44,0.295,716.0,4.7,3.597,28.0,30.4,0.49200000000000005,21.2,,119664.0,2.78,72.4,,126.0,20.4,25.3,3.5,304.0,22.18,158.013,,,21.4
Ireland,81637.0,112.81,13.0,0.9,,0.955,9.05,52.0,0.54,0.838,0.013999999999999999,0.002,0.00016,3.3,10.0,23395.0,7.01,0.32799999999999996,5897.0,8.9,1.7,35.5,25.3,0.835,37.8,80.5,,0.78,81.8,106.3,74.0,,34.8,3.7,16.0,291.86,1488.786,,3590.0,9.3
Israel,46376.0,147.36,3.8,1.5,5.6,0.919,7.84,46.0,0.51,0.035,0.18,0.003,0.4,3.7,12.0,17842.0,0.33,0.39,3207.0,5.2,3.01,31.3,26.1,0.81,30.4,72.8,47.0,1.55,82.6,97.1,234.0,79.8,25.0,5.8,29.0,193.6,1459.76,8411.0,3530.0,19.2
Italy,33090.0,90.93,7.5,0.6,1.6,0.892,7.74,25.0,0.72,0.83,0.048,0.002,0.0017000000000000001,3.1,14.0,,1.41,0.359,3624.0,4.3,1.27,26.4,19.9,0.8340000000000001,46.5,62.2,1189.0,-0.13,83.0,90.4,89.0,96.7,31.3,3.8,8.4,246.88,1175.048,61966.0,3650.0,13.45
Jamaica,5369.0,37.95,4.2,43.9,,0.734,7.13,,0.7,0.653,0.002,0.001,1.3e-05,13.9,,2730.0,1.22,0.455,559.0,2.3,1.965,19.3,24.7,0.48,29.4,68.6,,0.29,76.0,56.8,137.0,66.6,33.2,5.4,,91.13,55.88,,2840.0,24.95
Japan,40063.0,167.18,8.0,0.3,1.0,0.919,8.13,60.0,0.24,0.023,0.001,0.36200000000000004,6.3e-05,2.5,14.0,15646.0,0.96,0.32899999999999996,4504.0,12.2,1.36,33.3,4.3,0.915,48.6,72.1,30.0,-0.23,84.3,45.9,38.0,,29.3,3.6,0.3,72.06,776.661,139078.0,2800.0,11.15
Jordan,4405.0,67.35,0.7,1.4,,0.729,3.62,,0.96,0.06,0.972,0.004,,15.6,,5408.0,0.83,0.337,738.0,2.0,2.691,,35.5,0.65,23.5,66.5,,2.17,77.9,29.8,198.0,87.7,23.8,3.6,0.0,77.68,263.614,511.0,3000.0,18.3
Kazakhstan,9793.0,56.12,7.7,5.1,,0.825,3.14,,0.53,0.262,0.7020000000000001,0.002,0.00016,10.5,14.0,887.0,0.91,0.275,784.0,18.1,2.9,33.2,21.0,0.759,31.6,65.4,88686.0,1.13,74.0,44.8,157.0,99.5,24.3,2.8,0.6,288.12,129.206,1226.0,3510.0,6.4
Kenya,1817.0,,3.4,4.9,,0.601,5.05,,0.94,0.851,0.11199999999999999,0.001,1.9e-05,43.2,8.0,755.0,0.26,0.408,179.0,11.0,3.423,18.7,7.1,0.172,20.0,55.1,,2.49,66.1,14.3,81.0,54.0,20.2,5.2,73.3,94.86,24.264,300.0,2030.0,24.75
Kuwait,31999.0,130.66,0.0,1.8,,0.806,3.8,,0.91,0.15,0.746,0.027999999999999997,,7.9,7.0,2372.0,0.51,,3669.0,2.7,2.077,26.3,37.9,0.98,29.7,60.8,721575.0,1.78,81.0,60.2,117.0,69.5,27.5,3.8,,157.66,242.67,196.0,3030.0,25.35
Kyrgyzstan,1318.0,48.12,6.2,2.2,,0.697,4.21,,0.72,0.142,0.85,0.001,2.5e-05,18.3,14.0,196.0,1.12,0.27699999999999997,260.0,8.3,3.3,31.7,16.6,0.366,27.3,,169.0,1.44,74.2,39.0,161.0,92.5,21.8,6.1,,210.92,21.732,1455.0,2660.0,1.55
Laos,2625.0,43.98,10.4,,,0.613,1.77,,0.97,0.022000000000000002,0.001,0.6609999999999999,,45.5,15.0,1869.0,0.53,0.364,167.0,6.0,2.626,61.1,5.3,0.248,24.0,57.4,,1.45,68.5,15.0,130.0,58.6,20.5,2.9,,2.92,12.32,88.0,2240.0,22.8
Latvia,17885.0,128.69,12.9,4.4,,0.866,7.24,40.0,0.39,0.75,0.0015,0.001,0.00029,3.6,14.0,6853.0,1.26,0.35600000000000004,1896.0,16.1,1.61,40.5,23.6,0.8220000000000001,44.4,70.4,,-1.03,75.4,45.7,175.0,99.9,28.2,4.7,35.3,174.11,735.302,2910.0,2990.0,5.6
Lebanon,7784.0,,1.5,2.5,,0.744,4.16,,0.87,0.395,0.5770000000000001,0.002,,7.2,,5212.0,0.63,0.318,1086.0,2.8,2.075,44.1,32.0,0.693,33.7,51.1,,0.57,76.4,63.1,205.0,60.2,28.8,2.5,,114.52,258.914,3686.0,3090.0,16.4
