COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate
Israel,46376.0,147.36,3.8,1.5,5.6,0.919,7.84,46.0,51.0,3.5,18.0,0.3,40.0,3.7,12.0,17842.0,33.0,39.0,3207.0,5.2
Italy,33090.0,90.93,7.5,0.6,1.6,0.892,7.74,25.0,72.0,83.0,4.8,0.2,0.17,3.1,14.0,,141.0,35.9,3624.0,4.3
Ivory Coast,2276.0,49.33,8.4,,,0.538,4.11,,,,42.9,,,79.3,,,24.0,41.5,176.0,15.7
Jamaica,5369.0,37.95,4.2,43.9,,0.734,7.13,,70.0,65.3,0.2,0.1,0.0013,13.9,,2730.0,122.0,45.5,559.0,2.3
Japan,40063.0,167.18,8.0,0.3,1.0,0.919,8.13,60.0,24.0,2.3,0.1,36.2,0.0063,2.5,14.0,15646.0,96.0,32.9,4504.0,12.2
Jersey,,,,,,,,,,,,,,,,,,,,
Jordan,4405.0,67.35,0.7,1.4,,0.729,3.62,,96.0,6.0,97.2,0.4,,15.6,,5408.0,83.0,33.7,738.0,2.0
Kazakhstan,9793.0,56.12,7.7,5.1,,0.825,3.14,,53.0,26.2,70.2,0.2,0.016,10.5,14.0,887.0,91.0,27.5,784.0,18.1
Kenya,1817.0,,3.4,4.9,,0.601,5.05,,94.0,85.1,11.2,0.1,0.0019,43.2,8.0,755.0,26.0,40.8,179.0,11.0
Kiribati,1657.0,,0.4,,,0.63,,,,,0.1,,,50.9,,1880.0,8.0,,278.0,30.6
Kosovo,4473.0,54.39,,2.4,,,,,,,95.6,,,,14.0,2330.0,37.0,29.0,,
Kurdistan Region (Iraq),,,,2.2,,,,,,,,,,,,,,,,
